Symbol,Name,Currency
000024.SZ,N/A,N/A
000030.KS,Woori Bank,KRW
000040.KS,KR Motors Co Ltd,KRW
000060.KS,Meritz Fire & Marine Insurance Co Ltd,KRW
000070.KS,Samyang Holdings Corp,KRW
000075.KS,Samyang Holdings Corp Preference Shares,KRW
000080.KS,Hite Jinro,KRW
000087.KS,Hite Jinro Preference Shares,KRW
0001.HK,CK Hutchison Holdings Ltd,HKD
0001.KL,SUPERCOMNET TECHNOLOGIES BHD,MYR
000100.SZ,N/A,N/A
000105.KS,Yuhan Corp Preference Shares,KRW
000120.KS,CJ Logistics Corp,KRW
000140.KS,Hitejinro Holdings Co Ltd,KRW
000157.KS,DOOSAN PREFERENCE S2,KRW
0002.HK,CLP Holdings Limited,HKD
0002.KL,KOTRA INDUSTRIES BHD,MYR
000210.KS,Daelim Industrial Co Ltd,KRW
000215.KS,Daelim Industrial Co Ltd Preference Shares,KRW
000225.KS,YUYU PHARMA-1P PRF,KRW
000270.KS,Kia Motors Corporation,KRW
0003.HK,The Hong Kong and China Gas Company Ltd.,HKD
000300.KS,Dayou Plus Co Ltd,KRW
000325.KS,Noroo Holdings Co Ltd Preference Shares,KRW
000370.KS,Hanwha General Insurance Co  Ltd,KRW
000390.KS,Samhwa Paints Industrial Co Ltd,KRW
0004.HK,Wharf Holdings Ltd,HKD
000400.KS,"LOTTE NON-LIFE INSURANCE CO., LTD.",KRW
000403.SZ,N/A,N/A
000430.KS,"Dae Won Kang Up Co., Ltd.",KRW
000480.KS,"Chosun Refractories Co., Ltd",KRW
0005.HK,HSBC Holdings plc,HKD
0005.KL,UCREST BERHAD,MYR
000520.KS,"Samil Pharmaceutical Co., Ltd.",KRW
000540.KS,Heungkuk Fire & Marine Insurance Co Ltd,KRW
000545.KS,HEUNGKUK INS 1P PRF,KRW
000547.KS,HEUNGKUK INS 2P PRF,KRW
000590.KS,CS Holdings Co Ltd,KRW
0006.HK,Power Assets Holdings Ltd,HKD
0006.KL,PINEAPPLE RESOURCES BHD,MYR
000640.KS,Dong-A Socio Holdings Co Ltd,KRW
000650.KS,"Chunil Express Co., Ltd",KRW
000660.KS,SK Hynix Inc,KRW
000670.KS,Youngpoong Corp,KRW
000680.KS,LS Networks Corporation Limited,KRW
0007.HK,Hong Kong Finance Investment Hldg Grp Ld,HKD
0007.KL,PUC BERHAD,MYR
000700.KS,Eusu Holdings Co Ltd,KRW
000720.KS,Hyundai Engineering & Construction Co.,KRW
000725.KS,Hyundai Engineering & Construction Co. Preference Shares,KRW
000760.KS,"Rifa Industrial Co., Ltd.",KRW
0008.HK,PCCW Limited Common Stock,HKD
0008.KL,WILLOWGLEN MSC BHD,MYR
000810.KS,Samsung Fire & Marine Insurance Co Ltd,KRW
000815.KS,Samsung Fire & Marine Insurance Co Ltd Preference Shares,KRW
000830.KS,N/A,N/A
000835.KS,N/A,N/A
000880.KS,HANWHA ORD,KRW
000890.KS,BOHAE Co Ltd,KRW
0009.HK,Nine Express Ltd,HKD
000950.KS,"CHONBANG Co., LTD.",KRW
000970.KS,"Korea Cast Iron Pipe Ind. Co., Ltd.",KRW
000990.KS,DB HiTek Co Ltd,KRW
0010.HK,Hang Lung Group Limited,HKD
0010.KL,IRIS CORPORATION BHD,MYR
001020.KS,PaperCorea Inc,KRW
001040.KS,CJ Corp,KRW
001045.KS,CJ Corp Preference Shares,KRW
001060.KS,JW Pharmaceutical Corp,KRW
001065.KS,JW PHARMA-1P PRF,KRW
001067.KS,JW PHARMA-2P PRF,KRW
001070.KS,TaihanTextile Co Ltd,KRW
001080.KS,MANHO ROPE & WIRE LTD,KRW
0011.HK,Hang Seng Bank,HKD
0011.KL,BRITE-TECH BHD,MYR
001130.KS,"Daehan Flour Mill Co., Ltd.",KRW
001140.KS,Kukbo Transportation Co Ltd,KRW
0012.HK,"Henderson Land Development Co., Ltd.",HKD
0012.KL,THREE-A RESOURCES BHD,MYR
001210.KS,Kumho Electric Co Ltd,KRW
001230.KS,"Dongkuk Steel Mill Co., Ltd",KRW
001250.KS,GS Global Corp,KRW
001275.KS,Bookook Securities Co Ltd Preference Shares,KRW
001290.KS,Golden Bridge Investmnt & Securts Co Ltd,KRW
001340.KS,Paik Kwang Industral Co Ltd,KRW
001390.KS,KG Chemical Corporation,KRW
0014.HK,Hysan Development Company Limited,HKD
001420.KS,Taewonmulsan Co Ltd,KRW
001440.KS,Taihan Electric Wire Co Ltd,KRW
001460.KS,"BYC Co., Ltd",KRW
001465.KS,"BYC Co., Ltd Preference Shares",KRW
001470.KS,Sambu Construction Co Ltd,KRW
0015.HK,Vantage International Holdings Ltd,HKD
001500.KS,HMC Investment Securities Co Ltd,KRW
001510.KS,"SK Securities Co., Ltd",KRW
001515.KS,"SK Securities Co., Ltd Preference Shares",KRW
001520.KS,Tongyang Inc,KRW
001525.KS,TONGYANG-1P PRF,KRW
001527.KS,TONGYANG-2P PRF,KRW
001530.KS,Dongil Corp,KRW
001550.KS,"Chobi Co., Ltd.",KRW
001560.KS,"Cheil Grinding Wheel Ind. Co., Ltd.",KRW
001570.KS,"Kumyang Co., Ltd.",KRW
0016.HK,Sun Hung Kai Properties Limited,HKD
001620.KS,"Dongkook Industrial Co., Ltd.",KRW
001630.KS,Chongkundang Holdings Corp,KRW
001680.KS,Daesang Corp,KRW
001685.KS,Daesang Corp Preference Shares,KRW
0017.HK,New World Development Company Ltd.,HKD
0017.KL,M3 TECHNOLOGIES(ASIA)BHD,MYR
001720.KS,SHINYOUNG SECURITIES CO LTD,KRW
001725.KS,SHINYOUNG SECURITIES CO LTD Preference Shares,KRW
001740.KS,SK Networks Co Ltd,KRW
001745.KS,SK Networks Co Ltd Preference Shares,KRW
001750.KS,"Hanyang Securities Co., Ltd.",KRW
001770.KS,"Shin Hwa Silup Co., Ltd.",KRW
001780.KS,Aluko Co Ltd,KRW
001790.KS,TS Corp,KRW
0018.HK,Oriental Press Group Ltd,HKD
0018.KL,LAMBO GROUP BERHAD,MYR
001800.KS,ORION Holdings Corp,KRW
001820.KS,Samwha Capacitor Co Ltd,KRW
001880.KS,"Samho International Co., Ltd.",KRW
0019.HK,SWIRE PAC LTD/REG SH A NPV,HKD
001940.KS,KISCO Holdings,KRW
0020.HK,Wheelock and Company Limited,HKD
0020.KL,NETX HOLDINGS BHD,MYR
002000.KS,Hankuk Glass Industries Inc.,KRW
002005.KS,Hankuk Glass Industries Inc. Preference Shares,KRW
002025.KS,Kolon Corp Preference Shares,KRW
002030.KS,Asia Holdings Co Ltd,KRW
002070.KS,Namyeung Vivien Corp,KRW
0021.HK,Great China Properties Holdings Ltd,HKD
0021.KL,GHL SYSTEMS BHD,MYR
002100.KS,Kyungnong Corp,KRW
002140.KS,Korea Industrial Co Ltd,KRW
002150.KS,Dohwa Engineering Co Ltd,KRW
002170.KS,Samyang Tongsang Co Ltd,KRW
0022.HK,Mexan Limited,HKD
0022.KL,PARLO BERHAD,MYR
002210.KS,Dongsung Pharmaceutical Co Ltd,KRW
002220.KS,"Hanil Iron & Steel Co., Ltd",KRW
002240.KS,Kiswire Co Ltd,KRW
002250.KS,Alvogen Korea Co Ltd,KRW
002270.KS,Lotte Food Co Ltd,KRW
0023.HK,Bank of East Asia Ltd,HKD
0023.KL,IFCA MSC BHD,MYR
002300.KS,Hankuk Paper Mfg Co Ltd,KRW
002310.KS,Asia Paper Manufacturing Co Ltd,KRW
002350.KS,Nexen Tire Corp,KRW
002360.KS,SH Energy & Chemical Co Ltd,KRW
0024.HK,Burwill Holdings Ltd,HKD
0024.KL,JAG BERHAD,MYR
002410.KS,Bumyang Construction Co Ltd,KRW
002420.KS,The Century Co Ltd,KRW
002460.KS,Hwasung Industrial Co Ltd,KRW
0025.HK,Chevalier International Holdings Limited,HKD
0025.KL,LNG RESOURCES BHD,MYR
002550.KS,N/A,N/A
0026.HK,China Motor Bus Company Ltd,HKD
0026.KL,NOVA MSC BHD,MYR
002600.KS,Choheung Corporation,KRW
002630.KS,Orient Bio Inc,KRW
002690.KS,Dong Il Steel Manufacturing Co Ltd,KRW
0027.HK,Galaxy Entertainment Group Limited,HKD
002700.KS,"Shinil Industrial Co., Ltd.",KRW
002710.KS,TCC Steel,KRW
002760.KS,Bolak Company Limited,KRW
002780.KS,Chinhung International Inc.,KRW
002785.KS,CHIN HUNG INT PREFERENCE S1,KRW
002787.KS,CHIN HUNG INT-2P PRF,KRW
002790.KS,Amorepacific Group,KRW
002795.KS,Amorepacific Group Preference Shares,KRW
0028.HK,Tian An China Investments Co Ltd,HKD
0028.KL,SCOPE INDUSTRIES BHD,MYR
002810.KS,Samyung Trading Co Ltd,KRW
002840.KS,Miwon Commercial Co Ltd,KRW
